DATE, BTC_HASH, BTC_ENTR, LTC_HASH, LTC_ENTR
13/10/2011,8050844768358,52.10109600108921,3981152,29.153573214258596
14/10/2011,9164410792534,52.287997957698295,10173213,30.507090751414605
15/10/2011,10426269579270,52.47410699155734,2465190,28.462086103783953
16/10/2011,9231046888165,52.29845010157837,3243604,28.85798495665354
17/10/2011,8582189533182,52.19330159175026,3784099,29.080337092932012
18/10/2011,8839028296260,52.235843607220175,3491184,28.964103654777773
19/10/2011,9298404689510,52.30893904601464,4615624,29.366912963129803
20/10/2011,8699026943841,52.21280986208184,4406201,29.299922568542236
21/10/2011,9383511830114,52.32208378937839,5721538,29.676790268138564
22/10/2011,7783245286776,52.05232765311045,6050692,29.757487408467984
23/10/2011,7483147573981,51.99560105570367,6517777,29.86476725220065
24/10/2011,8233176994070,52.13340507013803,7697206,30.10472211842762
25/10/2011,9499436804327,52.33979781167307,5792978,29.694692445915365
26/10/2011,8903623218043,52.24634837140156,6077776,29.76393076428798
27/10/2011,8194816147015,52.12666741156657,5405281,29.594756879957366
28/10/2011,7443037362142,51.98784730707365,4135097,29.208308431968142
29/10/2011,8479624822737,52.175956263938524,5105674,29.51248868366026
30/10/2011,7485786029163,51.99610964052969,6118471,29.773558429679436
31/10/2011,7771692964137,52.05018473471664,6436955,29.846765642990537
01/11/2011,8285970905922,52.14262658381378,7950239,30.15138549115189
02/11/2011,9009547192825,52.263410429180645,14851569,31.05293070788471
03/11/2011,8468448535987,52.17405351364169,17710885,31.30695165901693
04/11/2011,8012288968816,52.094170283040725,21185640,31.5654020666464
05/11/2011,9161478387266,52.28753625387235,21431536,31.58205060650308
06/11/2011,8813390250550,52.231652917166755,19395028,31.438002213352302
07/11/2011,7897978198783,52.07343921459872,18682079,31.383970366291106
08/11/2011,8317166578735,52.148047956185984,17478903,31.287929996861543
09/11/2011,9528899559876,52.34426544399532,17764696,31.31132835533574
10/11/2011,9310478090325,52.310811080798516,16439840,31.19951161283104
11/11/2011,7650389233473,52.02748897968363,17303985,31.27341967451691
12/11/2011,7846855854151,52.06407052744488,17506448,31.29020175015123
13/11/2011,8702201213003,52.2133362045202,17740277,31.30934389103221
14/11/2011,8486119936358,52.177060897870234,16699834,31.222149116773988
15/11/2011,9373491245310,52.32054232251178,18117610,31.33970800829447
16/11/2011,8607924070862,52.19762118130991,17589267,31.297010717136438
17/11/2011,8265713756443,52.13909523286266,17734298,31.30885757801895
18/11/2011,7924950059546,52.07835767303068,19580764,31.451752411656575
19/11/2011,8243707427113,52.135249133033625,18724322,31.387228834943024
20/11/2011,7136791714536,51.92723149755237,20058404,31.486522173375022
21/11/2011,8240724826399,52.134727066730115,19732050,31.462856202872135
22/11/2011,7885034258303,52.07107285228639,19193929,31.422965416351193
23/11/2011,8132938997327,52.115732621869995,18876649,31.39891803359327
24/11/2011,7167789283390,51.933484055228824,18145330,31.34191364933311
25/11/2011,7336233039708,51.966995296851884,17795447,31.31382352675623
26/11/2011,7434118792312,51.98611757084271,18781302,31.391612434942594
27/11/2011,7120288394539,51.923891505300105,19342354,31.434078738842846
28/11/2011,7169714758551,51.93387155272835,18838894,31.396029623928154
29/11/2011,7760614027021,52.04812663344999,18716620,31.386635279505146
30/11/2011,7789908290706,52.05356217292251,21950282,31.616554829200997
01/12/2011,9569981751083,52.35047200279522,23686916,31.726405728839058
02/12/2011,9438853154711,52.33056740816747,27486420,31.941034368339565
03/12/2011,7700384931107,52.036886394993154,28797421,32.00825496925304
04/12/2011,7877766490551,52.069742482968884,30974481,32.113395463869125
05/12/2011,8297734637718,52.14467334957749,26058406,31.86406419125241
06/12/2011,8800767859385,52.22958523228038,28117205,31.97376854467084
07/12/2011,8407766003933,52.163678347437774,29548412,32.045395953425434
08/12/2011,7966675327209,52.085933609865585,26823454,31.905810376730855
09/12/2011,8213590952067,52.129968930086854,24724165,31.788237152913197
10/12/2011,8608091949866,52.19764931769248,25690188,31.8435328025824
11/12/2011,7701837574291,52.037158527293954,29249490,32.03072682450139
12/12/2011,7913521030303,52.07627557728048,27317276,31.93212898411785
13/12/2011,7310608928761,51.96194740795067,20355254,31.507716578752476
14/12/2011,8313221201579,52.147363429013275,16129895,31.172052401789173
15/12/2011,7576040611102,52.01339989348781,20308206,31.50437815420269
16/12/2011,6919204736364,51.88256205937104,20061832,31.48676871024047
17/12/2011,7627644477967,52.02319343081443,23171063,31.69463958577465
18/12/2011,8654361416450,52.205383199826905,22433666,31.647980752565914
19/12/2011,8489630999543,52.17765767777548,20562636,31.52234057548243
20/12/2011,8349714827392,52.153682754379666,21276836,31.571598983624927
21/12/2011,8455454101190,52.17183806597259,21946241,31.616289207676633
22/12/2011,8125988073519,52.1144990762769,29371303,32.03672262411346
23/12/2011,8674644272977,52.208760426473795,26157608,31.86954597335996
24/12/2011,8029475289353,52.09726154264249,14135000,30.981587237876507
25/12/2011,8985560587961,52.25956434203276,11388493,30.669892207524416
26/12/2011,10451246187473,52.47755890091151,13223883,30.88546122007744
27/12/2011,9599791056622,52.354958834472214,14551029,31.023436534006283
28/12/2011,8566670718752,52.19069046513294,13279337,30.891498473478883
29/12/2011,8742801130529,52.22005141203622,21537013,31.589133528967114
30/12/2011,7308475294708,51.961526289467166,40160922,32.488107745250055
31/12/2011,8925402230909,52.24987301604078,37845712,32.40244520374851
01/01/2012,8632769744614,52.20177933822717,28937434,32.0152523526101
02/01/2012,8677800594023,52.2092852641904,32549870,32.184967136171146
03/01/2012,9269422787471,52.30443533330461,33614519,32.23139986047859
