date,hashrate
2012/07/18,203097875
2012/07/19,198171909
2012/07/20,204544730
2012/07/21,210318609
2012/07/22,202299367
2012/07/23,221356698
2012/07/24,246790620
2012/07/25,244378089
2012/07/26,255687923
2012/07/27,247564793
2012/07/28,263792172
2012/07/29,294702453
2012/07/30,313484043
2012/07/31,296480801
2012/08/01,310647411
2012/08/02,321173266
2012/08/03,302927341
2012/08/04,298887311
2012/08/05,262386597
2012/08/06,253995728
2012/08/07,249078843
2012/08/08,241768627
2012/08/09,236043323
2012/08/10,251954163
2012/08/11,254623567
2012/08/12,266026699
2012/08/13,260361702
2012/08/14,261233170
2012/08/15,265680811
2012/08/16,263696273
2012/08/17,243567104
2012/08/18,232802881
2012/08/19,235864602
2012/08/20,253370681
2012/08/21,252197546
2012/08/22,207185949
2012/08/23,221209228
2012/08/24,237795642
2012/08/25,251414800
2012/08/26,279939561
2012/08/27,244402966
2012/08/28,240411954
2012/08/29,252184182
2012/08/30,262126523
2012/08/31,241128624
2012/09/01,264303667
2012/09/02,272106739
2012/09/03,257409476
2012/09/04,247426522
2012/09/05,256516617
2012/09/06,282660500
2012/09/07,270447205
2012/09/08,255629393
2012/09/09,275600241
2012/09/10,262896374
2012/09/11,245308992
2012/09/12,266766869
2012/09/13,262735507
2012/09/14,239301029
2012/09/15,244387159
2012/09/16,239743494
2012/09/17,247222249
2012/09/18,257866339
2012/09/19,255185696
2012/09/20,276857116
2012/09/21,288913034
2012/09/22,268693487
2012/09/23,310159061
2012/09/24,306463954
2012/09/25,332136751
2012/09/26,345666459
2012/09/27,305797929
2012/09/28,315245885
2012/09/29,334463074
2012/09/30,327176725
2012/10/01,331677786
2012/10/02,343735181
2012/10/03,358505438
2012/10/04,369449727
2012/10/05,399320297
2012/10/06,408925147
2012/10/07,383977031
2012/10/08,376091308
2012/10/09,417201127
2012/10/10,440097528
2012/10/11,461286706
2012/10/12,563405601
2012/10/13,646066151
2012/10/14,682549812
2012/10/15,801434001
2012/10/16,659597466
2012/10/17,601740327
2012/10/18,567269681
2012/10/19,572114616
2012/10/20,472679108
2012/10/21,506752579
2012/10/22,518309827
2012/10/23,622444073
2012/10/24,692952160
2012/10/25,687113178
2012/10/26,561877906
2012/10/27,588560755
2012/10/28,551917570
2012/10/29,545900168
2012/10/30,605084285
2012/10/31,641951369
2012/11/01,676068520
2012/11/02,658063113
2012/11/03,756937508
2012/11/04,806116153
2012/11/05,793577278
2012/11/06,695596397
2012/11/07,632870963
2012/11/08,546395193
2012/11/09,539611756
2012/11/10,516931801
2012/11/11,528301379
2012/11/12,527228916
2012/11/13,520505014
2012/11/14,601482140
2012/11/15,633935367
2012/11/16,648270098
2012/11/17,531670292
2012/11/18,511826441
2012/11/19,520308821
2012/11/20,456832340
2012/11/21,464581253
2012/11/22,510849111
2012/11/23,497072470
2012/11/24,515064817
2012/11/25,558811919
2012/11/26,606301552
2012/11/27,614675566
2012/11/28,612306998
2012/11/29,974369339
2012/11/30,1263322100
2012/12/01,1497826651
2012/12/02,1136787024
2012/12/03,640380590
2012/12/04,670306794
2012/12/05,745240372
2012/12/06,733567601
2012/12/07,739812188
2012/12/08,1140374947
2012/12/09,1370798563
2012/12/10,1045429868
2012/12/11,684278999
2012/12/12,720305172
2012/12/13,698696814
2012/12/14,715398940
2012/12/15,692114436
2012/12/16,1174443695
2012/12/17,1488249753
2012/12/18,926291507
2012/12/19,791661349
2012/12/20,800528604
2012/12/21,824577808
2012/12/22,720055894
2012/12/23,950133398
2012/12/24,1186456231
2012/12/25,1328004811
2012/12/26,983094319
2012/12/27,816579647
2012/12/28,830421492
2012/12/29,851841400
2012/12/30,836422209
2012/12/31,990697037
2013/01/01,1031181844
2013/01/02,1008785852
2013/01/03,765576040
2013/01/04,885373973
2013/01/05,687279835
2013/01/06,545309915
2013/01/07,776736172
2013/01/08,817978890
2013/01/09,878662624
2013/01/10,782524999
2013/01/11,702854978
2013/01/12,645287486
2013/01/13,663888402
2013/01/14,683676816
2013/01/15,811267739
2013/01/16,786931144
2013/01/17,800781040
2013/01/18,629785506
2013/01/19,535336273
2013/01/20,526866848
2013/01/21,513226818
2013/01/22,518240305
2013/01/23,640510381
2013/01/24,577495181
2013/01/25,576555386
2013/01/26,596662962
2013/01/27,560245663
2013/01/28,578224084
2013/01/29,541772729
2013/01/30,547330658
2013/01/31,552115298
2013/02/01,533863943
2013/02/02,575504297
2013/02/03,587512550
2013/02/04,597221147
2013/02/05,601614995
2013/02/06,582020520
2013/02/07,607833467
2013/02/08,604939899
2013/02/09,603920176
2013/02/10,579924673
2013/02/11,592776009
2013/02/12,549470253
2013/02/13,461863167
2013/02/14,467666108
2013/02/15,436505709
2013/02/16,399477486
2013/02/17,530122558
2013/02/18,516801205
2013/02/19,586232411
2013/02/20,516690634
2013/02/21,445834615
2013/02/22,459879565
2013/02/23,447281844
2013/02/24,456359179
2013/02/25,469692247
2013/02/26,428827732
2013/02/27,433865749
2013/02/28,460007667
2013/03/01,543903175
2013/03/02,675504766
2013/03/03,707732288
2013/03/04,907158238
2013/03/05,889716430
2013/03/06,1069585640
2013/03/07,1370756944
2013/03/08,1047718316
2013/03/09,1121224142
2013/03/10,1336855452
2013/03/11,1422291127
2013/03/12,1950033711
2013/03/13,2270411292
2013/03/14,2606198672
2013/03/15,3317123555
2013/03/16,2669635393
2013/03/17,2833053895
2013/03/18,3079489686
2013/03/19,2611789440
2013/03/20,1921026591
2013/03/21,1750735958
2013/03/22,1386310976
2013/03/23,1423613293
2013/03/24,2091561913
2013/03/25,2516201236
2013/03/26,2976228904
2013/03/27,2883483414
2013/03/28,2830869024
2013/03/29,2734194723
