date,hashrate
2009/10/27,3159776
2009/10/28,3337791
2009/10/29,2741421
2009/10/30,2830245
2009/10/31,2617999
2009/11/01,1832456
2009/11/02,1411760
2009/11/03,2299350
2009/11/04,3280681
2009/11/05,3223995
2009/11/06,2611235
2009/11/07,3531482
2009/11/08,3394914
2009/11/09,3499460
2009/11/10,3336459
2009/11/11,3707146
2009/11/12,3337736
2009/11/13,3436509
2009/11/14,4199720
2009/11/15,4488081
2009/11/16,5071382
2009/11/17,4537991
2009/11/18,4178086
2009/11/19,3783460
2009/11/20,3851970
2009/11/21,4047220
2009/11/22,4550756
2009/11/23,5010945
2009/11/24,4837433
2009/11/25,4486798
2009/11/26,4163158
2009/11/27,3746860
2009/11/28,3933589
2009/11/29,3071712
2009/11/30,3441932
2009/12/01,3388144
2009/12/02,4523918
2009/12/03,4260899
2009/12/04,2962741
2009/12/05,2547394
2009/12/06,4391602
2009/12/07,5119201
2009/12/08,5721311
2009/12/09,4825621
2009/12/10,4947115
2009/12/11,5997198
2009/12/12,5199187
2009/12/13,5321923
2009/12/14,5338273
2009/12/15,5639690
2009/12/16,5765103
2009/12/17,7660882
2009/12/18,9692674
2009/12/19,11145141
2009/12/20,9256307
2009/12/21,9075121
2009/12/22,7966995
2009/12/23,8324084
2009/12/24,7489464
2009/12/25,7854512
2009/12/26,7539913
2009/12/27,8386339
2009/12/28,7668832
2009/12/29,7672852
2009/12/30,9182821
2009/12/31,8230238
2010/01/01,7607389
2010/01/02,7355058
2010/01/03,9210607
2010/01/04,11578640
2010/01/05,11282671
2010/01/06,10286750
2010/01/07,9156298
2010/01/08,9174612
2010/01/09,9107774
2010/01/10,9984760
2010/01/11,10069010
2010/01/12,10617370
2010/01/13,10669452
2010/01/14,9787278
2010/01/15,9236990
2010/01/16,9222895
2010/01/17,7978417
2010/01/18,8516108
2010/01/19,7814949
2010/01/20,8733861
2010/01/21,11422323
2010/01/22,10434567
2010/01/23,9344451
2010/01/24,9750208
2010/01/25,12414206
2010/01/26,13748236
2010/01/27,12239629
2010/01/28,11160855
2010/01/29,12887660
2010/01/30,12848435
2010/01/31,13788087
2010/02/01,11466945
2010/02/02,10114947
2010/02/03,14390639
2010/02/04,16888349
2010/02/05,21293454
2010/02/06,18641359
2010/02/07,17922898
2010/02/08,20113791
2010/02/09,18693803
2010/02/10,16160781
2010/02/11,15374902
2010/02/12,16222899
2010/02/13,19260651
2010/02/14,19610265
2010/02/15,23985420
2010/02/16,22735612
2010/02/17,27481565
2010/02/18,29208162
2010/02/19,24154688
2010/02/20,26309564
2010/02/21,27796313
2010/02/22,29654098
2010/02/23,31141261
2010/02/24,35795893
2010/02/25,29432400
2010/02/26,31609796
2010/02/27,31538213
2010/02/28,31925872
2010/03/01,33059069
2010/03/02,36597052
2010/03/03,30999412
2010/03/04,31719509
2010/03/05,34307197
2010/03/06,32923193
2010/03/07,31780015
2010/03/08,35074306
2010/03/09,32409543
2010/03/10,32268232
2010/03/11,33429368
2010/03/12,29198162
2010/03/13,32338463
2010/03/14,29856226
2010/03/15,29043840
2010/03/16,29620959
2010/03/17,28700939
2010/03/18,33675843
2010/03/19,30581642
2010/03/20,40246623
2010/03/21,42223312
2010/03/22,40167787
2010/03/23,45020439
2010/03/24,42046917
2010/03/25,41556014
2010/03/26,42758355
2010/03/27,42325761
2010/03/28,43033154
2010/03/29,42333327
2010/03/30,47058320
2010/03/31,49055384
2010/04/01,50237407
2010/04/02,45948950
2010/04/03,51607399
2010/04/04,48446248
2010/04/05,51534590
2010/04/06,45273897
2010/04/07,53851985
2010/04/08,59916612
2010/04/09,53796358
2010/04/10,69067387
2010/04/11,72133611
2010/04/12,79212047
2010/04/13,71459738
2010/04/14,72742816
2010/04/15,78331333
2010/04/16,80103678
2010/04/17,82656039
2010/04/18,95710285
2010/04/19,86680173
2010/04/20,84673112
2010/04/21,86934606
2010/04/22,109743556
2010/04/23,84163592
2010/04/24,87297055
2010/04/25,96189064
2010/04/26,95260823
2010/04/27,95915962
2010/04/28,103762008
2010/04/29,93007363
2010/04/30,84896975
2010/05/01,91706766
2010/05/02,98889809
2010/05/03,94283382
2010/05/04,83573907
2010/05/05,89976999
2010/05/06,90254547
2010/05/07,91622750
2010/05/08,89408747
2010/05/09,95502329
2010/05/10,91061237
2010/05/11,75891637
2010/05/12,76866908
2010/05/13,79126383
2010/05/14,80962748
2010/05/15,69657477
2010/05/16,62257614
2010/05/17,85359680
2010/05/18,101022015
2010/05/19,101643407
2010/05/20,106912661
2010/05/21,111285681
2010/05/22,109097884
2010/05/23,123639249
2010/05/24,115841923
2010/05/25,120937751
2010/05/26,128585792
2010/05/27,118313779
2010/05/28,124467715
2010/05/29,139425085
2010/05/30,129151337
2010/05/31,124304772
2010/06/01,111916665
2010/06/02,114995655
2010/06/03,125372185
2010/06/04,113947217
2010/06/05,116501953
2010/06/06,121996078
2010/06/07,123463626
2010/06/08,134699188
2010/06/09,132523033
2010/06/10,139784065
2010/06/11,132303081
2010/06/12,131717041
2010/06/13,133253732
2010/06/14,137985774
2010/06/15,158476956
2010/06/16,143265917
2010/06/17,121007255
2010/06/18,128176624
2010/06/19,134282983
2010/06/20,139902322
2010/06/21,151854568
2010/06/22,133222273
2010/06/23,145807344
2010/06/24,166148361
2010/06/25,155342107
2010/06/26,151592174
2010/06/27,154579153
2010/06/28,160626976
2010/06/29,157392566
2010/06/30,168196175
2010/07/01,195220770
2010/07/02,184604599
2010/07/03,183007831
2010/07/04,184565701
2010/07/05,164824213
2010/07/06,208433746
2010/07/07,183844428
2010/07/08,179343922
2010/07/09,210274106
2010/07/10,225319215
2010/07/11,219842808
2010/07/12,478251585
2010/07/13,1352643399
2010/07/14,1342451531
2010/07/15,1374455302
2010/07/16,1871475165
2010/07/17,2775561176
2010/07/18,1554461318
2010/07/19,1551287489
2010/07/20,1640430286
2010/07/21,1723492810
2010/07/22,1705481237
2010/07/23,1716129083
2010/07/24,1665066217
2010/07/25,1907547992
2010/07/26,2223656291
2010/07/27,2426744254
2010/07/28,1950278995
2010/07/29,2095168440
2010/07/30,2189273223
2010/07/31,2265292201
2010/08/01,2671612580
2010/08/02,2982826783
2010/08/03,2904903911
2010/08/04,2741851411
2010/08/05,3141922058
2010/08/06,3199053766
2010/08/07,2608076740
2010/08/08,3128125022
2010/08/09,3451603021
2010/08/10,3323478837
2010/08/11,3758454224
2010/08/12,3882076899
2010/08/13,3918463385
2010/08/14,4198187090
2010/08/15,5792904430
2010/08/16,3723240584
2010/08/17,3546715851
2010/08/18,3326153695
2010/08/19,3455494630
2010/08/20,4123747293
2010/08/21,4652854684
2010/08/22,4971164317
2010/08/23,5410490997
2010/08/24,5427414403
2010/08/25,5641324734
2010/08/26,5452582474
2010/08/27,5839636296
2010/08/28,5537117890
2010/08/29,5039874543
2010/08/30,4706695827
2010/08/31,5304821005
2010/09/01,5349934742
2010/09/02,4860204896
2010/09/03,4951727104
2010/09/04,5366881132
2010/09/05,5351068779
2010/09/06,5095396019
2010/09/07,4781518950
2010/09/08,5497292943
2010/09/09,5428655621
2010/09/10,5652888035
2010/09/11,5964655844
2010/09/12,6141554977
2010/09/13,6233335266
2010/09/14,6566059092
2010/09/15,6449596169
2010/09/16,6880790711
2010/09/17,7767563974
2010/09/18,7924001966
2010/09/19,9938049965
2010/09/20,9484313063
2010/09/21,8637197672
2010/09/22,7824661385
2010/09/23,9124979268
2010/09/24,10721684791
2010/09/25,10097932369
2010/09/26,9216289562
2010/09/27,10109067877
2010/09/28,10792251626
2010/09/29,12581521704
2010/09/30,9631931793
2010/10/01,10355743338
2010/10/02,8247666129
2010/10/03,7256115406
2010/10/04,9131009174
2010/10/05,8948558152
2010/10/06,9659237036
2010/10/07,11044743033
2010/10/08,10543606653
2010/10/09,10231600983
2010/10/10,10959330235
2010/10/11,11095467774
2010/10/12,10886289472
2010/10/13,11389933710
2010/10/14,12828600160
2010/10/15,13231141686
2010/10/16,14772707236
2010/10/17,19181748985
2010/10/18,17870719558
